Longitud	Latitud
-100.252752	19.483361
-99.961085	19.23336
-100.002751	17.983359
-98.586084	18.275026
-98.586084	18.35836
-98.794417	18.48336
-98.836084	18.316693
-98.919417	18.23336
-98.961084	18.275026
-98.961084	18.316693
-99.502751	18.35836
-99.836085	18.316693
-97.836083	18.150026
-97.836083	18.316693
-97.794416	18.275026
-98.044416	18.191693
-97.419416	17.066692
-97.461083	17.483359
-97.461083	17.525026
-97.502749	17.483359
-97.502749	17.525026
-97.919416	17.191692
-95.044414	29.566702
-97.044416	36.733374
-106.83609	30.483369
-92.711079	15.650024
-92.752746	15.816691
-91.336078	16.650025
-92.627745	16.733358
-92.836079	15.650024
-91.127744	16.775025
-91.169411	16.775025
-91.169411	16.816692
-91.044411	16.691692
-91.086078	16.733358
-93.294413	16.900025
-93.336079	16.858359
-92.711079	15.858358
-91.752745	16.900025
-88.586076	14.608357
-93.336079	16.483358
-89.086076	15.275024
-90.877744	16.150025
-90.877744	16.275025
-90.919411	16.108358
-90.961077	16.066691
-91.211078	16.733358
-91.252744	16.775025
-91.252744	16.816692
-91.419411	16.816692
-91.461078	16.816692
-91.711078	16.108358
-92.086078	15.566691
-92.461079	16.525025
-92.919412	16.733358
-92.919412	16.775025
-93.086079	16.816692
-93.252746	16.733358
-90.836077	16.275025
-91.586078	16.150025
-91.836078	16.816692
-92.044412	16.191691
-92.544412	16.316691
-96.627749	17.191692
-97.127749	17.358359
-96.752749	17.108359
-105.377756	23.483364
-103.627754	19.525027
-103.627754	19.566694
-104.169421	19.566694
-105.169422	21.483362
-105.336089	22.816697
-105.336089	22.983363
-105.461089	23.066697
-103.919421	19.150027
-104.044421	19.10836
-104.502755	19.150027
-105.044422	19.525027
-104.961089	19.358361
-102.211086	20.608362
-102.29442	20.650028
-102.961087	20.775028
-103.502754	20.650028
-101.252752	18.60836
-101.211086	18.60836
-104.961089	19.400027
-104.961089	19.441694
-104.961089	19.483361
-105.002755	19.441694
-105.002755	19.483361
-105.044422	19.483361
-101.627753	19.525027
-101.794419	18.73336
-101.836086	18.85836
-101.91942	19.650027
-102.461087	18.775027
-103.127754	19.733361
-103.919421	19.316694
-101.669419	19.483361
-102.04442	19.400027
-102.04442	19.441694
-102.086086	19.441694
-102.127753	19.441694
-102.66942	19.10836
-103.586088	19.191694
-103.877754	19.358361
-103.961088	19.441694
-104.211088	19.566694
-104.252755	19.566694
-104.294421	19.608361
-104.377755	20.733362
-105.044422	21.441696
-105.336089	20.191695
-105.336089	22.65003
-105.419422	20.858362
-105.711089	23.02503
-105.752756	22.816697
-105.794423	22.816697
-105.919423	23.40003
-106.377756	23.941698
-102.502753	18.85836
-104.169421	20.775028
-104.044421	19.816694
-104.377755	20.941695
-106.419423	23.233364
-106.83609	24.108364
-104.169421	19.358361
-107.669424	25.066698
-101.836086	18.941694
-92.377745	15.025024
-93.58608	16.191691
-93.919413	16.358358
-93.002746	15.358357
-92.169412	15.108357
-92.252745	15.233357
-92.752746	17.358359
-92.752746	17.400026
-92.877746	17.441692
-90.711077	19.150027
-90.961077	18.60836
-90.711077	19.275027
-95.252748	17.025025
-91.544411	17.816693
-91.544411	17.983359
-91.961078	17.483359
-92.002745	17.525026
-93.419413	16.150025
-93.419413	18.275026
-93.461079	15.983358
-93.752746	16.066691
-93.752746	16.775025
-93.752746	16.816692
-93.877746	16.316691
-93.919413	16.150025
-93.919413	16.316691
-93.919413	16.566692
-94.044413	16.400025
-94.044413	18.066693
-94.21108	16.358358
-94.21108	16.441692
-94.46108	17.441692
-94.58608	18.150026
-94.669414	18.191693
-94.919414	18.275026
-94.961081	18.275026
-95.086081	18.400026
-95.127747	18.400026
-94.502747	16.358358
-93.627746	16.983359
-94.669414	16.400025
-91.377744	17.525026
-91.961078	17.525026
-93.752746	16.108358
